,accuracy,loss,val_accuracy,val_loss
0,0.5905198454856873,1.4823057651519775,0.8300052285194397,0.6201245188713074
1,0.807404637336731,0.6779428124427795,0.8744297623634338,0.4621521234512329
2,0.853440523147583,0.5127130746841431,0.8936504125595093,0.3767412602901459
3,0.8773559927940369,0.4285239577293396,0.9051678776741028,0.3332267999649048
4,0.8906320333480835,0.3723383843898773,0.9112257957458496,0.32099252939224243
5,0.9037396907806396,0.33009442687034607,0.9182559251785278,0.29191479086875916
6,0.9116679430007935,0.2953452467918396,0.9174332618713379,0.2975902259349823
7,0.9190351366996765,0.26920777559280396,0.9210231304168701,0.2815830707550049
8,0.9247943162918091,0.24674101173877716,0.9215466380119324,0.2829754650592804
9,0.9321428537368774,0.22092978656291962,0.924388587474823,0.2792367935180664
10,0.9352281093597412,0.20695632696151733,0.9246129393577576,0.2770724892616272
11,0.9399214386940002,0.1907234936952591,0.9267818331718445,0.2756597697734833
12,0.9439977407455444,0.17727668583393097,0.9230424165725708,0.2903272211551666
13,0.9469708204269409,0.1681724488735199,0.9227432608604431,0.29781249165534973
14,0.9507853388786316,0.15188415348529816,0.92573481798172,0.29250621795654297
15,0.9552356004714966,0.13952253758907318,0.9224441051483154,0.31272587180137634
16,0.9548803567886353,0.1371173858642578,0.9256600141525269,0.3076830208301544
17,0.9572176337242126,0.12828591465950012,0.9252112507820129,0.31976860761642456
18,0.958900511264801,0.12028950452804565,0.9248373508453369,0.3257518410682678
19,0.9620792865753174,0.11198479682207108,0.9203500151634216,0.3326227366924286
